Economy,Indicator,Unit of Measure,Year,Value
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2000,300483100.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2000,24357896.06664
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2000,28463442.4757
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2000,32387116.8312
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2000,15164424.02417
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2000,238022472.33011
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2000,26111995.36682
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2000,417615396.81099
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2000,9435295.94515
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2000,32181489.506
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2000,206616895.16101
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2000,12277553957.312
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2000,71578656.938
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2000,737525100.13101
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2000,79140555.58202
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2000,258988460.9536
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2000,4978238.86284
India,"Domestic Material Consumption, All (t million)",metric ton,2000,3871075307.9697
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2000,1325911.1248
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2000,58800360.57497
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2000,58225257.56888
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2000,5214587.03997
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2000,39603349.8058
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2000,873641879.27556
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2000,20679082.80993
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2000,373611448.70216
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2000,161961919.90904
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2000,346445778.16438
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2000,229255659.3976
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2000,492321285.36845
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2000,1968234.0
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2000,319876100.71466
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2000,59747.34
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2000,10717625.04461
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2000,366184.94059
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2000,52543.53
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2000,256734.32
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2000,696753.65
Palau,"Domestic Material Consumption, All (t million)",metric ton,2000,87627.84
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2000,74915027.68249
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2000,934482.10409
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2000,3004692.48483
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2000,527654.63024
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2000,11561.08
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2000,1707344.29011
Australia,"Domestic Material Consumption, All (t million)",metric ton,2000,874409868.12469
Japan,"Domestic Material Consumption, All (t million)",metric ton,2000,1822597165.5507
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2000,147084186.29189
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2001,307367300.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2001,23367406.64888
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2001,29382792.47436
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2001,34141375.2119
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2001,16597330.66356
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2001,265892945.47086
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2001,28222463.23902
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2001,406411214.78672
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2001,9835322.78035
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2001,32881239.774
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2001,209144603.78019
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2001,12847339788.088
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2001,77572205.996
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2001,760671137.84901
