Economy,Indicator,Unit of Measure,Year,Value
Afghanistan,"Material Footprint, All (t million)",metric ton,2000,47400000
Armenia,"Material Footprint, All (t million)",metric ton,2000,11800000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2000,46000000
Georgia,"Material Footprint, All (t million)",metric ton,2000,24200000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2000,158400000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2000,25800000
Pakistan,"Material Footprint, All (t million)",metric ton,2000,354500000
Tajikistan,"Material Footprint, All (t million)",metric ton,2000,9100000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2000,21600000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2000,120700000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2000,10531600000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2000,695700000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2000,950000000
Mongolia,"Material Footprint, All (t million)",metric ton,2000,31900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2000,236700000
Bhutan,"Material Footprint, All (t million)",metric ton,2000,7000000
India,"Material Footprint, All (t million)",metric ton,2000,3772600000
Maldives,"Material Footprint, All (t million)",metric ton,2000,2000000
Nepal,"Material Footprint, All (t million)",metric ton,2000,31300000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2000,56100000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2000,14900000
Cambodia,"Material Footprint, All (t million)",metric ton,2000,39800000
Indonesia,"Material Footprint, All (t million)",metric ton,2000,744900000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2000,24200000
Malaysia,"Material Footprint, All (t million)",metric ton,2000,334100000
Myanmar,"Material Footprint, All (t million)",metric ton,2000,59000000
Philippines,"Material Footprint, All (t million)",metric ton,2000,294000000
Singapore,"Material Footprint, All (t million)",metric ton,2000,257200000
Thailand,"Material Footprint, All (t million)",metric ton,2000,426600000
Viet Nam,"Material Footprint, All (t million)",metric ton,2000,306300000
Fiji,"Material Footprint, All (t million)",metric ton,2000,4700000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2000,15500000
Samoa,"Material Footprint, All (t million)",metric ton,2000,1000000
Vanuatu,"Material Footprint, All (t million)",metric ton,2000,900000
Australia,"Material Footprint, All (t million)",metric ton,2000,794100000
Japan,"Material Footprint, All (t million)",metric ton,2000,2837300000
New Zealand,"Material Footprint, All (t million)",metric ton,2000,110000000
Afghanistan,"Material Footprint, All (t million)",metric ton,2001,50600000
Armenia,"Material Footprint, All (t million)",metric ton,2001,12600000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2001,47600000
Georgia,"Material Footprint, All (t million)",metric ton,2001,25900000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2001,190800000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2001,26100000
Pakistan,"Material Footprint, All (t million)",metric ton,2001,344600000
Tajikistan,"Material Footprint, All (t million)",metric ton,2001,11200000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2001,32200000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2001,125000000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2001,11255800000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2001,734700000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2001,947100000
Mongolia,"Material Footprint, All (t million)",metric ton,2001,35000000
Bangladesh,"Material Footprint, All (t million)",metric ton,2001,238800000
Bhutan,"Material Footprint, All (t million)",metric ton,2001,7600000
India,"Material Footprint, All (t million)",metric ton,2001,3700200000
Maldives,"Material Footprint, All (t million)",metric ton,2001,2000000
Nepal,"Material Footprint, All (t million)",metric ton,2001,30800000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2001,56900000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2001,15300000
Cambodia,"Material Footprint, All (t million)",metric ton,2001,38400000
Indonesia,"Material Footprint, All (t million)",metric ton,2001,785400000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2001,24000000
Malaysia,"Material Footprint, All (t million)",metric ton,2001,322900000
Myanmar,"Material Footprint, All (t million)",metric ton,2001,59300000
Philippines,"Material Footprint, All (t million)",metric ton,2001,327200000
Singapore,"Material Footprint, All (t million)",metric ton,2001,258200000
Thailand,"Material Footprint, All (t million)",metric ton,2001,426800000
Viet Nam,"Material Footprint, All (t million)",metric ton,2001,338900000
Fiji,"Material Footprint, All (t million)",metric ton,2001,4700000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2001,16900000
Samoa,"Material Footprint, All (t million)",metric ton,2001,900000
Vanuatu,"Material Footprint, All (t million)",metric ton,2001,900000
Australia,"Material Footprint, All (t million)",metric ton,2001,725000000
Japan,"Material Footprint, All (t million)",metric ton,2001,2972100000
New Zealand,"Material Footprint, All (t million)",metric ton,2001,110900000
Afghanistan,"Material Footprint, All (t million)",metric ton,2002,56000000
Armenia,"Material Footprint, All (t million)",metric ton,2002,17300000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2002,55600000
Georgia,"Material Footprint, All (t million)",metric ton,2002,29000000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2002,185400000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2002,33500000
Pakistan,"Material Footprint, All (t million)",metric ton,2002,354400000
Tajikistan,"Material Footprint, All (t million)",metric ton,2002,13100000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2002,34400000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2002,126600000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2002,12015800000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2002,662900000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2002,921700000
Mongolia,"Material Footprint, All (t million)",metric ton,2002,32700000
Bangladesh,"Material Footprint, All (t million)",metric ton,2002,256800000
Bhutan,"Material Footprint, All (t million)",metric ton,2002,8700000
India,"Material Footprint, All (t million)",metric ton,2002,3667900000
Maldives,"Material Footprint, All (t million)",metric ton,2002,2100000
Nepal,"Material Footprint, All (t million)",metric ton,2002,38300000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2002,60900000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2002,15800000
Cambodia,"Material Footprint, All (t million)",metric ton,2002,40000000
Indonesia,"Material Footprint, All (t million)",metric ton,2002,826000000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2002,25400000
Malaysia,"Material Footprint, All (t million)",metric ton,2002,316200000
Myanmar,"Material Footprint, All (t million)",metric ton,2002,68800000
Philippines,"Material Footprint, All (t million)",metric ton,2002,324500000
Singapore,"Material Footprint, All (t million)",metric ton,2002,236100000
Thailand,"Material Footprint, All (t million)",metric ton,2002,478100000
Viet Nam,"Material Footprint, All (t million)",metric ton,2002,483700000
Fiji,"Material Footprint, All (t million)",metric ton,2002,4700000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2002,17100000
Samoa,"Material Footprint, All (t million)",metric ton,2002,1100000
Vanuatu,"Material Footprint, All (t million)",metric ton,2002,1000000
Australia,"Material Footprint, All (t million)",metric ton,2002,869400000
Japan,"Material Footprint, All (t million)",metric ton,2002,2830100000
New Zealand,"Material Footprint, All (t million)",metric ton,2002,121200000
Afghanistan,"Material Footprint, All (t million)",metric ton,2003,62300000
Armenia,"Material Footprint, All (t million)",metric ton,2003,18700000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2003,60500000
Georgia,"Material Footprint, All (t million)",metric ton,2003,31400000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2003,258000000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2003,43500000
Pakistan,"Material Footprint, All (t million)",metric ton,2003,386300000
Tajikistan,"Material Footprint, All (t million)",metric ton,2003,15200000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2003,41400000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2003,125900000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2003,12894700000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2003,622100000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2003,1003700000
Mongolia,"Material Footprint, All (t million)",metric ton,2003,26900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2003,259600000
Bhutan,"Material Footprint, All (t million)",metric ton,2003,9100000
India,"Material Footprint, All (t million)",metric ton,2003,3872700000
Maldives,"Material Footprint, All (t million)",metric ton,2003,2100000
Nepal,"Material Footprint, All (t million)",metric ton,2003,47800000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2003,65600000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2003,15800000
Cambodia,"Material Footprint, All (t million)",metric ton,2003,43300000
Indonesia,"Material Footprint, All (t million)",metric ton,2003,871500000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2003,25200000
Malaysia,"Material Footprint, All (t million)",metric ton,2003,330700000
Myanmar,"Material Footprint, All (t million)",metric ton,2003,77100000
Philippines,"Material Footprint, All (t million)",metric ton,2003,375200000
Singapore,"Material Footprint, All (t million)",metric ton,2003,181700000
Thailand,"Material Footprint, All (t million)",metric ton,2003,519100000
Viet Nam,"Material Footprint, All (t million)",metric ton,2003,557400000
Fiji,"Material Footprint, All (t million)",metric ton,2003,5200000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2003,23600000
Samoa,"Material Footprint, All (t million)",metric ton,2003,1100000
Vanuatu,"Material Footprint, All (t million)",metric ton,2003,1100000
Australia,"Material Footprint, All (t million)",metric ton,2003,972300000
Japan,"Material Footprint, All (t million)",metric ton,2003,2831400000
New Zealand,"Material Footprint, All (t million)",metric ton,2003,127500000
Afghanistan,"Material Footprint, All (t million)",metric ton,2004,54500000
Armenia,"Material Footprint, All (t million)",metric ton,2004,19800000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2004,68100000
Georgia,"Material Footprint, All (t million)",metric ton,2004,33600000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2004,323700000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2004,46300000
Pakistan,"Material Footprint, All (t million)",metric ton,2004,413900000
Tajikistan,"Material Footprint, All (t million)",metric ton,2004,16700000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2004,43300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2004,143600000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2004,14066200000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2004,523600000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2004,1068300000
Mongolia,"Material Footprint, All (t million)",metric ton,2004,35700000
Bangladesh,"Material Footprint, All (t million)",metric ton,2004,256300000
Bhutan,"Material Footprint, All (t million)",metric ton,2004,9600000
India,"Material Footprint, All (t million)",metric ton,2004,3898500000
Maldives,"Material Footprint, All (t million)",metric ton,2004,2900000
Nepal,"Material Footprint, All (t million)",metric ton,2004,47800000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2004,62800000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2004,19100000
Cambodia,"Material Footprint, All (t million)",metric ton,2004,49100000
Indonesia,"Material Footprint, All (t million)",metric ton,2004,894800000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2004,26600000
Malaysia,"Material Footprint, All (t million)",metric ton,2004,339700000
Myanmar,"Material Footprint, All (t million)",metric ton,2004,77100000
Philippines,"Material Footprint, All (t million)",metric ton,2004,405200000
Singapore,"Material Footprint, All (t million)",metric ton,2004,173400000
Thailand,"Material Footprint, All (t million)",metric ton,2004,575900000
Viet Nam,"Material Footprint, All (t million)",metric ton,2004,578400000
Fiji,"Material Footprint, All (t million)",metric ton,2004,6400000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2004,19000000
Samoa,"Material Footprint, All (t million)",metric ton,2004,1300000
Vanuatu,"Material Footprint, All (t million)",metric ton,2004,1300000
Australia,"Material Footprint, All (t million)",metric ton,2004,969600000
Japan,"Material Footprint, All (t million)",metric ton,2004,2856000000
New Zealand,"Material Footprint, All (t million)",metric ton,2004,139800000
Afghanistan,"Material Footprint, All (t million)",metric ton,2005,51800000
Armenia,"Material Footprint, All (t million)",metric ton,2005,17900000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2005,64900000
Georgia,"Material Footprint, All (t million)",metric ton,2005,33200000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2005,449300000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2005,32300000
Pakistan,"Material Footprint, All (t million)",metric ton,2005,452300000
Tajikistan,"Material Footprint, All (t million)",metric ton,2005,15600000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2005,40200000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2005,133200000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2005,15064900000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2005,483400000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2005,1103000000
Mongolia,"Material Footprint, All (t million)",metric ton,2005,26100000
Bangladesh,"Material Footprint, All (t million)",metric ton,2005,279400000
Bhutan,"Material Footprint, All (t million)",metric ton,2005,8800000
India,"Material Footprint, All (t million)",metric ton,2005,3862900000
Maldives,"Material Footprint, All (t million)",metric ton,2005,3500000
Nepal,"Material Footprint, All (t million)",metric ton,2005,45900000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2005,67100000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2005,20700000
Cambodia,"Material Footprint, All (t million)",metric ton,2005,44200000
Indonesia,"Material Footprint, All (t million)",metric ton,2005,1019600000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2005,27000000
Malaysia,"Material Footprint, All (t million)",metric ton,2005,327400000
Myanmar,"Material Footprint, All (t million)",metric ton,2005,74900000
Philippines,"Material Footprint, All (t million)",metric ton,2005,397600000
Singapore,"Material Footprint, All (t million)",metric ton,2005,249800000
Thailand,"Material Footprint, All (t million)",metric ton,2005,576200000
Viet Nam,"Material Footprint, All (t million)",metric ton,2005,644900000
Fiji,"Material Footprint, All (t million)",metric ton,2005,6400000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2005,16700000
Samoa,"Material Footprint, All (t million)",metric ton,2005,1600000
Vanuatu,"Material Footprint, All (t million)",metric ton,2005,1600000
Australia,"Material Footprint, All (t million)",metric ton,2005,914400000
Japan,"Material Footprint, All (t million)",metric ton,2005,2939600000
New Zealand,"Material Footprint, All (t million)",metric ton,2005,140500000
Afghanistan,"Material Footprint, All (t million)",metric ton,2006,40400000
Armenia,"Material Footprint, All (t million)",metric ton,2006,22300000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2006,75800000
Georgia,"Material Footprint, All (t million)",metric ton,2006,35900000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2006,524300000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2006,32000000
Pakistan,"Material Footprint, All (t million)",metric ton,2006,501300000
Tajikistan,"Material Footprint, All (t million)",metric ton,2006,16300000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2006,30300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2006,145400000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2006,16213400000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2006,486600000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2006,1164500000
Mongolia,"Material Footprint, All (t million)",metric ton,2006,19900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2006,282200000
Bhutan,"Material Footprint, All (t million)",metric ton,2006,8600000
India,"Material Footprint, All (t million)",metric ton,2006,4136500000
Maldives,"Material Footprint, All (t million)",metric ton,2006,4600000
Nepal,"Material Footprint, All (t million)",metric ton,2006,49900000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2006,76300000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2006,20600000
Cambodia,"Material Footprint, All (t million)",metric ton,2006,47800000
Indonesia,"Material Footprint, All (t million)",metric ton,2006,1060000000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2006,27800000
Malaysia,"Material Footprint, All (t million)",metric ton,2006,358700000
Myanmar,"Material Footprint, All (t million)",metric ton,2006,73800000
Philippines,"Material Footprint, All (t million)",metric ton,2006,384600000
Singapore,"Material Footprint, All (t million)",metric ton,2006,234600000
Thailand,"Material Footprint, All (t million)",metric ton,2006,574800000
Viet Nam,"Material Footprint, All (t million)",metric ton,2006,660100000
Fiji,"Material Footprint, All (t million)",metric ton,2006,6800000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2006,20100000
Samoa,"Material Footprint, All (t million)",metric ton,2006,1400000
Vanuatu,"Material Footprint, All (t million)",metric ton,2006,1500000
Australia,"Material Footprint, All (t million)",metric ton,2006,930700000
Japan,"Material Footprint, All (t million)",metric ton,2006,2981200000
New Zealand,"Material Footprint, All (t million)",metric ton,2006,137300000
Afghanistan,"Material Footprint, All (t million)",metric ton,2007,41300000
Armenia,"Material Footprint, All (t million)",metric ton,2007,26500000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2007,71400000
Georgia,"Material Footprint, All (t million)",metric ton,2007,41300000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2007,592300000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2007,36900000
Pakistan,"Material Footprint, All (t million)",metric ton,2007,535900000
Tajikistan,"Material Footprint, All (t million)",metric ton,2007,17700000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2007,32300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2007,145100000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2007,17114500000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2007,459900000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2007,1241700000
Mongolia,"Material Footprint, All (t million)",metric ton,2007,24900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2007,285600000
Bhutan,"Material Footprint, All (t million)",metric ton,2007,8900000
India,"Material Footprint, All (t million)",metric ton,2007,4708700000
Maldives,"Material Footprint, All (t million)",metric ton,2007,5100000
Nepal,"Material Footprint, All (t million)",metric ton,2007,53600000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2007,86000000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2007,22500000
Cambodia,"Material Footprint, All (t million)",metric ton,2007,45900000
Indonesia,"Material Footprint, All (t million)",metric ton,2007,1145100000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2007,30300000
Malaysia,"Material Footprint, All (t million)",metric ton,2007,387400000
Myanmar,"Material Footprint, All (t million)",metric ton,2007,84600000
Philippines,"Material Footprint, All (t million)",metric ton,2007,421600000
Singapore,"Material Footprint, All (t million)",metric ton,2007,283400000
Thailand,"Material Footprint, All (t million)",metric ton,2007,611000000
Viet Nam,"Material Footprint, All (t million)",metric ton,2007,698000000
Fiji,"Material Footprint, All (t million)",metric ton,2007,6400000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2007,22400000
Samoa,"Material Footprint, All (t million)",metric ton,2007,1500000
Vanuatu,"Material Footprint, All (t million)",metric ton,2007,1700000
Australia,"Material Footprint, All (t million)",metric ton,2007,984400000
Japan,"Material Footprint, All (t million)",metric ton,2007,2759700000
New Zealand,"Material Footprint, All (t million)",metric ton,2007,143700000
Afghanistan,"Material Footprint, All (t million)",metric ton,2008,38200000
Armenia,"Material Footprint, All (t million)",metric ton,2008,30100000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2008,97700000
Georgia,"Material Footprint, All (t million)",metric ton,2008,51400000
